date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:11	87/87	---M--	200	added ('OK')	text/plain	etag:%2257-5eb4360a2ba62%22	https://miwonsc.com/robots.txt		(from )
16:51:12	99925/99925	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2011:21:11%20GMT	https://miwonsc.com/eng/	C:/Users/Pintu/Downloads/it%20project/miwonsc.com/eng/index.html	(from )
16:51:12	26344/26344	---MCZ	200	added ('OK')	text/css	etag:W/%2266e8-5e4bf65b80b00%22	https://miwonsc.com/theme/basic/css/default.css?ver=210618&date=20250807202111	C:/Users/Pintu/Downloads/it%20project/miwonsc.com/theme/basic/css/default6da1.css	(from https://miwonsc.com/eng/)
16:51:12	240/240	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Aug%202025%2011:21:12%20GMT	https://miwonsc.com/theme/basic/skin/latest/main_tab/style.css?ver=210618	C:/Users/Pintu/Downloads/it%20project/miwonsc.com/theme/basic/skin/latest/main_tab/style3816.css	(from https://miwonsc.com/eng/)
16:51:13	54348/54348	---MCZ	200	added ('OK')	text/css	etag:W/%22d44c-5eed1580c67dc%22	https://miwonsc.com/theme/basic/css/design.css?date=20250807202111	C:/Users/Pintu/Downloads/it%20project/miwonsc.com/theme/basic/css/design8fb3.css	(from https://miwonsc.com/eng/)
16:51:13	40686/40686	---MCZ	200	added ('OK')	text/css	etag:W/%229eee-5d92b0f3c8980%22	https://miwonsc.com/theme/basic/css/animations.css?ver=210618&date=20250807202111	C:/Users/Pintu/Downloads/it%20project/miwonsc.com/theme/basic/css/animations6da1.css	(from https://miwonsc.com/eng/)
16:51:13	10318/10318	---MCZ	200	added ('OK')	text/css	etag:W/%22284e-5e8aa6202fa80%22	https://miwonsc.com/theme/basic/css/responsive.css?ver=210618&date=20250807202111	C:/Users/Pintu/Downloads/it%20project/miwonsc.com/theme/basic/css/responsive6da1.css	(from https://miwonsc.com/eng/)
16:51:14	57095/57095	---MCZ	200	added ('OK')	text/css	etag:W/%22df07-5d944a4d55080%22	https://miwonsc.com/theme/basic/css/animate.css?date=20250807202111	C:/Users/Pintu/Downloads/it%20project/miwonsc.com/theme/basic/css/animate8fb3.css	(from https://miwonsc.com/eng/)
16:51:15	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/Users/Pintu/Downloads/it%20project/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://miwonsc.com/eng/)
16:51:15	293430/293430	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-47a36%22	https://code.jquery.com/jquery-1.12.4.js	C:/Users/Pintu/Downloads/it%20project/code.jquery.com/jquery-1.12.4.js	(from https://miwonsc.com/eng/)
16:51:15	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-2748%22	https://code.jquery.com/jquery-migrate-1.4.1.min.js	C:/Users/Pintu/Downloads/it%20project/code.jquery.com/jquery-migrate-1.4.1.min.js	(from https://miwonsc.com/eng/)
16:51:16	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2007%20Aug%202025%2011:21:16%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Pintu/Downloads/it%20project/www.googletagmanager.com/gtm.95445.delayed	(from https://miwonsc.com/eng/)
16:51:16	2930/2930	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b72-5d5e59561e080%22	https://miwonsc.com/js/jquery.menu.js?ver=210618	C:/Users/Pintu/Downloads/it%20project/miwonsc.com/js/jquery.menu3816.js	(from https://miwonsc.com/eng/)
16:51:17	21184/21184	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252c0-5d5e594ba07c0%22	https://miwonsc.com/js/common.js?ver=210618	C:/Users/Pintu/Downloads/it%20project/miwonsc.com/js/common3816.js	(from https://miwonsc.com/eng/)
16:51:17	11096/11096	---MCZ	200	added ('OK')	application/javascript	etag:W/%222b58-5d5e595bd6e00%22	https://miwonsc.com/js/wrest.js?ver=210618	C:/Users/Pintu/Downloads/it%20project/miwonsc.com/js/wrest3816.js	(from https://miwonsc.com/eng/)
